title,subtitle,categories,description,series,edition,firstPublishDate,published_year,characters,format,isbn10,isbn13,asin,image_url,average_rating,awards,bbeScore,bbeVotes,isBestSeller,isEditorsPick,isGoodReadsChoice,likedPercent,numRatings,pages,publisher,ratingsByStars,ratings_count,setting,soldBy,author_list
Hapenny Magick,,"['Fantasy', 'Middle Grade', 'Fiction', 'Childrens']","Maewyn Bridgepost, the tiniest Hapenny, a race of little people, spends her days, from breakfast to midnight nibble, scrubbing the hearth, slopping the pigs, and cooking for her guardian, Gelbane, who never spares a kind word. As if life as a servant isn't bad enough, Mae learns that Gelbane is a troll and Hapennies are a troll delicacy.Years ago, a spell trapped Gelbane in Mae's village. Ever since, Gelbane has been chiseling away the magic protections and now Mae's home is destined to become a smorgasbord for half-starved trolls.When her best friend, Leif, goes missing, it will take all of Mae's courage to friend her friend and protect her village.When pitchforks, sewing needles, pots, brooms and a little magick are the only weapons at hand, the hapennies discover that great victories can be accomplished no matter what size you are, but only if you stick together.",Hapenny Magick #1,,11/30/11,April 15th 2014,[],Paperback,,9781937053918,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1395283758l/18734992.jpg,4.35,['Eric Hoffer Book Award'],97.0,1.0,,,,94.0,65.0,160,Spencer Hill Press,"['39', '15', '7', '3', '1']",,[],,['Jennifer Carson']
Happy Again,,"['Young Adult', 'Romance', 'Contemporary', 'Novella', 'Short Stories', 'Fiction', 'Young Adult Contemporary', 'Realistic Fiction', 'Young Adult Romance', 'Contemporary Romance']","Ellie O'Neill and Graham Larkin fell hard for each other when a misspelled email address unexpectedly brought them together. Now, over a year has passed since they said goodbye with the promise to stay in touch, and their daily emails have dwindled to nothing. Ellie is a freshman in college and has told herself to move on, and Graham has kept himself busy starring in more movies, as well as a few tabloid columns. But fate brought these two together once before—and it isn't done with them yet.In this sequel novella to This Is What Happy Looks Like, Jennifer E. Smith revisits two beloved characters to tell the story of one magical night in Manhattan. When Ellie and Graham come face to face once more, can they get past the months of silence and the hurt feelings to find their happily-ever-after again?",This Is What Happy Looks Like #1.5,,,April 14th 2015,[],ebook,,9780316305655,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1426029420l/25116648.jpg,3.92,[],97.0,1.0,,,,94.0,4218.0,84,Poppy,"['1299', '1578', '1098', '201', '42']",,[],,['Jennifer E. Smith']
Heart of Venom,,"['Urban Fantasy', 'Fantasy', 'Paranormal', 'Magic', 'Romance', 'Vampires', 'Adult', 'Paranormal Romance', 'Fiction', 'Supernatural']","The hotly anticipated ninth novel in the hugely popular Elemental Assassin series finds Gin Blanco on a dangerous mission to rescue a friend. When a terror from the past threatens Gin’s friend and body-disposer, Sophia, Gin will stop at nothing to protect her, even if it means walking straight into a killer’s trap. Meanwhile, the rocky romance between Gin and Owen reaches a turning point—can they reunite and rekindle their love? Or will the things Gin has been forced to do in her line of work as the deadly assassin the Spider keep them apart forever? Assuming, that is, she survives long enough to find out…",Elemental Assassin #9,,,August 27th 2013,[],Mass Market Paperback,,9781451689006,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1359050337l/16130369.jpg,4.19,['Goodreads Choice Award Nominee for Paranormal Fantasy (2013)'],87.0,1.0,,,,97.0,7756.0,354,Pocket Books,"['3158', '3149', '1234', '178', '37']",,[],,['Jennifer Estep']
Hope's Chance,,"['Romance', 'New Adult', 'Contemporary', 'Young Adult', 'College', 'Contemporary Romance', 'Abuse', 'Erotica', 'High School', 'Social Issues']","This title is no longer available. A Hope and a Chance is based on the story formally known as Hope's Chance with changes/updates to some character names and information.When Hope's parents divorced two years ago, her life was turned upside down. To pass the time and avoid family issues, she took extra classes and graduated six months before turning eighteen. After being estranged for more than a year, her father moves back to their hometown. Hope is reluctant to visit him for the first time, but her mother insists. The visit to his new mansion is not what she expected until she meets the secret guy living in the pool house.A year ago, Chance Avery was on his way to a law degree courtesy of Penn State University, but something terrible happened. Chance has lost everyone in his life, except for his sister. When she moves to Virginia, he has no choice but to come along. With an agreement to renovate the Mansion, he gets to live in the pool house on the property. His life is boring and meaningless, until one day someone comes barging in his door.When Hope and Chance run into each other again, they end up spending the night together, thinking they never have to see each other again. Then Hope finds out she has to move in with her father, who has already warned Chance that he is not allowed to touch his daughter.Staying apart is a lot harder than either of them expected, and soon their feelings intensify to a breaking point, leaving them helplessly in love with one another. Will they be able to hide their relationship until Hope turns eighteen?",,,,August 1st 2012,[],Kindle Edition,,B008RSCS9S,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1357316997l/15783386.jpg,3.96,[],95.0,1.0,,,,90.0,3244.0,223,JMF,"['1238', '1092', '591', '202', '121']",,[],,['Jennifer Foor']
How Many Miles to Babylon?,,"['Fiction', 'Historical Fiction', 'Ireland', 'Irish Literature', 'War', 'Young Adult', 'Classics', 'Historical', 'World War I', 'School']","As a child Alec, heir to the big house and only son of a bitter marriage, formed a close friendship with Jerry, a village boy who shared his passion for horses. In 1914 both enlisted in the British Army - Alec goaded by his beautiful, cold mother to fight for King and Country, Jerry to learn his trade for the Irish Nationalist cause.",,,11/06/74,1988,[],Paperback,,9780140119510,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1408926072l/819524.jpg,3.57,[],71.0,1.0,,,,85.0,1614.0,156,Penguin Books,"['326', '567', '473', '189', '59']",,['Flanders (Belgium)'],,['Jennifer Johnston']
Half-Blood,,"['Fantasy', 'Young Adult', 'Paranormal', 'Romance', 'Mythology', 'Paranormal Romance', 'Urban Fantasy', 'Supernatural', 'Greek Mythology', 'Magic']","The Hematoi descend from the unions of gods and mortals, and the children of two Hematoi pure bloods have godlike powers. Children of Hematoi and mortals--well, not so much. Half-bloods only have two options: become trained Sentinels who hunt and kill daimons or become servants in the homes of the pures.Seventeen-year-old Alexandria would rather risk her life fighting than waste it scrubbing toilets, but she may end up slumming it anyway. There are several rules that students at the Covenant must follow. Alex has problems with them all, but especially rule #1:Relationships between pures and halfs are forbidden. Unfortunately, she's crushing hard on the totally hot pure-blood Aiden. But falling for Aiden isn't her biggest problem--staying alive long enough to graduate the Covenant and become a Sentinel is.If she fails in her duty, she faces a future worse than death or slavery: being turned into a daimon, and being hunted by Aiden. And that would kind of suck.",Covenant #1,,,October 18th 2011,"['Leon (Covenant Series)', 'Caleb (Covenant Series)', 'Aiden St. Delphi', 'Deacon St. Delphi', 'Alexandria ""Alex"" Andros', 'Seth (Covenant Series)']",Paperback,,9780983157205,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1311865840l/9680718.jpg,4.13,[],6098.0,75.0,,,,93.0,81206.0,281,Spencer Hill Press,"['36763', '25973', '12702', '3528', '2240']",,[],,['Jennifer L. Armentrout']
Heavenly,,"['Angels', 'Young Adult', 'Paranormal', 'Fantasy', 'Romance', 'Paranormal Romance', 'Fiction', 'Supernatural', 'Urban Fantasy', 'Teen']","I met someone who changed everything. Matthias. My autistic sister's guardian angel. Honest. Inspiring. Funny. Hot. And immortal. That was the problem. What could I do? I did what any other girl would do-I fell in love with him.Zoe's sister darts in front of cars. Her brother's a pothead. Her parents are so overwhelmed; they don't see Zoe lost in her broken life. Zoe escapes the only way she knows how: partying. Matthias, a guardian sent from Heaven, watches over Zoe's autistic sister. After Zoe is convinced he's legit, angel and lost girl come together in a love that changes destiny. But Heaven on Earth can't last forever.",Heavenly #1,,,June 1st 2009,[],Paperback,,9781933963846,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1348064914l/6171732.jpg,3.74,[],391.0,5.0,,,,86.0,2697.0,280,Grove Creek Publishing,"['857', '815', '639', '235', '151']",,[],,['Jennifer Laurens']
Hero: Rescue Mission,,"['Animals', 'Dogs', 'Fiction']","The adventure continues in the third installment of the #1 New York Times bestselling Hero series by Jennifer Li Shotz.Ben and Hero, the incredible search-and-rescue dog, have saved the day before—but never like this. Ben’s town is in trouble when two convicts escape from a nearby prison. His dad, a police officer, sets off to find the men and bring them to justice, but then Ben’s dad disappears and the trail goes cold.Ben knows that it’s up to him and Hero to solve the case. As they embark on their most dangerous mission yet, the two best friends must stock up on their bravery and courage in order to outwit the fugitives and bring Ben’s dad home. Are the two heroes up to the challenge?Get ready for another canine adventure full of danger, loyalty, and the unbreakable bond between a boy and his best friend.",Hero #3,,,October 31st 2017,[],Paperback,,9780062560452,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1496432860l/33914012._SX318_.jpg,4.59,[],57.0,1.0,,,,98.0,124.0,192,HarperCollins,"['85', '29', '8', '2', '0']",,[],,['Jennifer Li Shotz']
Holding Up the Universe,,"['Young Adult', 'Contemporary', 'Romance', 'Fiction', 'Realistic Fiction', 'Mental Health', 'Audiobook', 'Young Adult Contemporary', 'High School', 'Teen']","Everyone thinks they know Libby Strout, the girl once dubbed ""America's Fattest Teen."" But no one's taken the time to look past her weight to get to know who she really is. Following her mom's death, she's been picking up the pieces in the privacy of her home, dealing with her heartbroken father and her own grief. Now, Libby's ready: for high school, for new friends, for love, and for every possibility life has to offer. In that moment, I know the part I want to play here at MVB High. I want to be the girl who can do anything. Everyone thinks they know Jack Masselin, too. Yes, he's got swagger, but he's also mastered the impossible art of giving people what they want, of fitting in. What no one knows is that Jack has a newly acquired secret: he can't recognize faces. Even his own brothers are strangers to him. He's the guy who can re-engineer and rebuild anything, but he can't understand what's going on with the inner workings of his brain. So he tells himself to play it cool: Be charming. Be hilarious. Don't get too close to anyone.Until he meets Libby. When the two get tangled up in a cruel high school game—which lands them in group counseling and community service—Libby and Jack are both pissed, and then surprised. Because the more time they spend together, the less alone they feel. Because sometimes when you meet someone, it changes the world, theirs and yours.",,,04/04/16,October 4th 2016,"['Jack Masselin', 'Libby Strout']",Hardcover,,9780385755924,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1463377718l/28686840.jpg,3.87,"['Evergreen Teen Book Award Nominee (2019)', 'Goodreads Choice Award Nominee for Young Adult Fiction (2016)', 'Missouri Gateway Readers Award Nominee (2018)', 'Premi Protagonista Jove for Categoria 15-16 anys (2018)']",1042.0,11.0,,,,92.0,65324.0,391,Alfred A. Knopf Books for Young Readers,"['19460', '24886', '15439', '4243', '1296']",,['Indiana (United States)'],,['Jennifer Niven']
Her Lucky Cowboy,,"['Romance', 'Contemporary Romance', 'Contemporary', 'Westerns', 'Romantic Suspense', 'Fiction', 'Western Romance', 'Family', 'Suspense', 'Adult']","Everything's bigger in Big Sky country, including the hearts of the Montana Men...Champion rodeo rider Dane Bowden is eight seconds from winning under the Vegas lights, one last hurrah before reluctantly returning to his family's Montana ranch. But his bull has other plans. When Dane wakes up, he's sure he's died and gone to heaven . . . because the doctor who comes to his aid is the same girl who saved his life and disappeared years ago.Bell would do anything for Dane. He's the fantasy that always kept her going. A child genius hidden away by her family, Bell was the secret no one talked about, the girl no one wanted. Despite finding success as a young surgeon, she's still the awkward girl who's never had a boyfriend. So why does Dane, a notorious playboy and sizzling-hot cowboy, insist on taking her on a real date?Bell is the only woman in Dane's heart. When a rodeo rivalry turns deadly, it's his turn to save Bell's life—because he sure as hell won't lose his guardian angel again.",Montana Men #3,,,August 25th 2015,[],Mass Market Paperback,,9780062334954,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1424411488l/23644595.jpg,4.19,[],95.0,1.0,,,,96.0,1836.0,384,Avon,"['806', '660', '304', '51', '15']",,[],,['Jennifer Ryan']
How My Summer Went Up in Flames,,"['Young Adult', 'Contemporary', 'Romance', 'Road Trip', 'Chick Lit', 'Realistic Fiction', 'Travel', 'Fiction', 'Young Adult Contemporary', 'Teen']","First she lost her heart. Then she lost her mind. And now she’s on a road trip to win back her ex. This debut novel’s packed with drama and romance!Rosie’s always been impulsive. She didn’t intend to set her cheating ex-boyfriend’s car on fire. And she never thought her attempts to make amends could be considered stalking. So when she’s served with a temporary restraining order on the first day of summer vacation, she’s heartbroken—and furious. To put distance between Rosie and her ex, Rosie’s parents send her on a cross-country road trip with responsible, reliable neighbor Matty and his two friends. Forget freedom of the road, Rosie wants to hitchhike home and win back her ex. But her determination starts to dwindle with each passing mile. Because Rosie’s spark of anger? It may have just ignited a romance with someone new…",,,05/03/13,May 7th 2013,"['Rosalita Ariana Catalano', 'Matthew Ryan Connelly', 'Logan Davidson', 'Spencer Davidson']",Paperback,,9781442459397,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1361195622l/16074805.jpg,3.82,[],97.0,1.0,,,,90.0,6280.0,320,Simon Pulse,"['2059', '1884', '1690', '467', '180']",,[],,['Jennifer Salvato Doktorski']
Här ligger jag och blöder,,"['Young Adult', 'Swedish Literature', 'Contemporary', 'Fiction', 'Sweden', 'Young Adult Contemporary', 'Scandinavian Literature', 'Audiobook', 'Romance', 'Family']","""Klockan var kvart i ett torsdagen den tolfte april, dagen för den internationellt inbillade olycksdagen, och jag hade just sågat av den yttersta toppen av min vänstertumme med en elektrisk sticksåg.""​Maja skulle aldrig skada sig själv, aldrig avsiktligt som folk verkar tro. Ska man inte få såga av sig en tumspets utan att alla börjar oroa sig? Det vill säga, alla utom Majas mamma. Tvärtom är det Maja som oroar sig för henne. På en fest hon inte är inbjuden till träffar hon tjugoåriga Justin, en superverbal bilmekaniker med rosa byxor, som får henne att glömma allt om frånvarande mammor och avsågade tummar. Men sen läser Maja ett mejl som inte är till henne, ett mejl som gör ondare än alla sticksågar i världen. Här ligger jag och blöder är en bladvändare med gapskrattshumor och allvar, av författaren till romanenHål i huvudet (2006).",,1,10/30/10,September 17th 2010,[],Paperback,,9789186634032,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1284801017l/9334058.jpg,3.36,"[""Augustpriset for Children's and Youth Literature (2010)""]",97.0,1.0,,,,83.0,1450.0,252,Gilla Böcker,"['149', '515', '539', '199', '48']",,[],,['Jenny Jägerfeld']
Hulk: Gray,,"['Comics', 'Graphic Novels', 'Marvel', 'Superheroes', 'Fiction', 'Comic Book', 'Graphic Novels Comics', 'Science Fiction', 'Fantasy', 'Comix']","Bruce Banner's life was torn apart by the explosion of the Gamma Bomb. From that moment on, he unleashed the strongest creature on Earth--The Incredible Hulk. No matter how powerful he became, his heart could still be shattered by Betty Ross. The Eisner Award-winning team of Jeph Loeb and Tim Sale continue their insightful look into the early days of Marvel's most popular heroes as they unravel the origin of the Hulk.",Hulk: Gray #1-6,,11/10/04,June 29th 2011,"['Rick Jones', 'Betty Ross', 'Doc Samson', 'Thaddeus E. Ross', 'Bruce Banner', 'Tony Stark']",Paperback,,9780785113461,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1344264083l/106861.jpg,3.77,[],65.0,1.0,,,,92.0,2157.0,168,Marvel,"['519', '823', '649', '135', '31']",,[],,"['Jeph Loeb', 'Tim Sale']"
High performance MySQL,"optimization, backups, replication and load balancing",Computers,"A guide for MySQL administrators covers such topics as benchmarking, indexes, the stages of processing a query, hardware configuations, copying data to multiple servers, and preventing hardware failure.",,,,2004.0,,,0596003064,9780596003067,,http://books.google.com/books/content?id=pspQAAAAMAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,4.24,,,,,,,,,304.0,,,388.0,,,"['Jeremy D. Zawodny', 'Derek J. Balling']"
Het hout,,"['Dutch Literature', 'Fiction', 'Literature', 'Roman', 'Historical Fiction', 'Collections', 'Adult', 'Novels']","In een door kloosterlingen geleid jongenspensionaat vindt in de jaren vijftig van de vorige eeuw seksueel misbruik, sadisme en vernedering plaats. Broeder Bonaventura is er getuige van en zwijgt zoals iedereen. Maakt dit hem medeplichtig? Het hout geeft een cynisch beeld van de misdaden en de hypocrisie in de roomse kerk, die heden nog de verontwaardiging en frustratie oproepen van wie er het slachtoffer van zijn geweest.",,,,October 10th 2014,[],Paperback,,9789025442255,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1413106935l/23128464.jpg,3.85,"['AKO / ECI Literatuurprijs (2015)', 'Libris Literatuurprijs Nominee for Longlist (2015)', 'Gouden Boekenuil Nominee (2015)']",91.0,1.0,,,,92.0,1886.0,283,Atlas Contact,"['474', '858', '397', '116', '41']",,[],,['Jeroen Brouwers']
Humongous Zits,,"['Comics', 'Humor', 'Graphic Novels Comics', 'Graphic Novels', 'Comic Strips', 'Bande Dessinée', 'Comic Book', 'Comedy', 'Fiction', 'Cartoon']","Adolescence is a time of painful growth and unpredictable change, when kids come packaged in a jumble of baggy jeans, rolling eyeballs, and grunting communication. Cartoonists Jerry Scott and Jim Borgman have captured the humor of that challenging time with Zits, in which they chronicle the life and times of the typically exasperating yet ever lovable Jeremy Duncan.In this first Zits treasury, a compilation of Zits and Growth Spurt, faithful fans of Jeremy's world will get a glimpse behind the scenes with never-before-seen sketches and the stories behind the strips. Sunday cartoons appear in full-color, highlighting the strip's acclaimed drawing style.Even though the teenage terrain is rocky, Zits is warm and sympathetic. ""The highest compliment we hear from readers is, 'You must have a camera hidden in our house!'"" says Borgman.",Zits Treasury #1,,11/06/00,March 1st 2000,[],Paperback,,9780740700132,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1347252338l/995155.jpg,4.27,[],84.0,1.0,,,,97.0,2280.0,256,Andrews McMeel Publishing,"['1141', '707', '364', '44', '24']",,[],,"['Jerry Scott', 'Jim Borgman']"
Hell Night,,[],"Blood BrothersThe deadliest, most organized threat ever to homeland security is situated in America's own backyard. A violent, militant arm of a neo-Nazi group has forged an unholy alliance with Palestinian terrorists to bring about a mutual goal. They want to generate panic, chaos and bloodshed on America's streets.With limited intelligence available and even less time, Mack Bolan works down a hit list of strikes planned by both groups--at home and abroad. The attacks are intended to destabilize America's military, legal and government institutions, and light the fuse for the fi nal act of terror against the heart of U.S. political power. The Executioner's urgent directive comes straight from the President: do anything to stop this--and do it now.",Mack Bolan the Executioner #351,,02/01/08,February 12th 2008,[],Paperback,,9780373643516,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1266922492l/1901277.jpg,4.3,[],98.0,-1.0,,,,96.0,23.0,221,Gold Eagle,"['14', '3', '5', '1', '0']",,[],,"['Jerry van Cook', 'Don Pendleton']"
Hunted by the Others,,"['Urban Fantasy', 'Vampires', 'Paranormal', 'Fantasy', 'Magic', 'Paranormal Romance', 'Werewolves', 'Shapeshifters', 'Romance', 'Fiction']","Shiarra Waynest's detective work was dangerous enough when her client base was strictly mortal. But ailing finances have forced her to accept a lucrative case that could save her firm - if it doesn't kill her first. Shiarra has signed on to work for a high-level mage to recover an ancient artifact owned by one of New York's most powerful vampires. As soon as Shiarra meets sexy, mesmerizing vamp Alec Royce, she knows her assignment is even more complicated than she thought. With a clandestine anti-Other group trying to recruit her, and magi being eliminated, Shiarra needs back-up and enlists her ex-boyfriend - a werewolf whose non-furry form is disarmingly appealing - and a nerdy mage with surprising talents. But it may not be enough. In a city where the undead roam, magic rules, and even the Others aren't always what they seem, Shiarra has just become the secret weapon in a battle between good and evil - whether she likes it or not...",H&W Investigations #1,1st Edition,,May 1st 2010,"['Shiarra Waynest', 'Sara Halloway', 'Alec Royce']",Paperback,,9781420111873,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1408385842l/7081899.jpg,3.59,[],62.0,1.0,,,,87.0,3031.0,337,Zebra,"['623', '1066', '939', '290', '113']",,[],,['Jess Haines']
Himself,,"['Fiction', 'Mystery', 'Magical Realism', 'Fantasy', 'Ireland', 'Historical Fiction', 'Irish Literature', 'Audiobook', 'Mystery Thriller', 'Paranormal']","A charming ne’er-do-well returns to his haunted Irish hometown to uncover the truth about his mother in this “supernaturally skilled debut” (Vanity Fair) and turns the town—and his life—upside down.Having been abandoned at an orphanage as a baby, Mahony assumed all his life that his mother wanted nothing to do with him. That is, until one night in 1976 while drinking a pint at a Dublin pub, he receives an anonymous note implying that she may have been forced to give him up. Determined to find out what really happened, Mahony embarks on a pilgrimage back to his hometown, the rural village of Mulderrig. Neither he nor Mulderrig can possibly prepare for what’s in store…From the moment he arrives, Mahony’s presence completely changes the village. Women fall all over themselves. The real and the fantastic are blurred. Chatty ghosts rise from their graves with secrets to tell, and local preacher Father Quinn will do anything to get rid of the slippery young man who is threatening the moral purity of his parish.A spectacular new addition to the grand Irish storytelling tradition, Himself  “is a darkly comic tale of murder, intrigue, haunting and illegitimacy…wickedly funny” (Daily Express).",,,,March 14th 2017,[],Hardcover,,9781782118459,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1458646854l/29365635._SY475_.jpg,3.92,"[""Authors' Club Best First Novel Award Nominee for Shortlist (2017)""]",20.0,1.0,,,,93.0,8552.0,358,Canongate Books,"['2579', '3534', '1811', '465', '163']",,[],,['Jess Kidd']
Hooking Up,,"['Contemporary Romance', 'Contemporary', 'Chick Lit', 'Romance', 'Amazon', 'New Adult', 'Fiction', 'Erotica', 'Erotic Romance', 'Adult Fiction']","Would you go out to a bar and pick up any random handsome man to spend the night with to mute the heartbreak of your long-term lover - your rock - walking out on you? Caitlin Edison was so badly hurt by her boyfriend of ten years leaving her that she no longer wanted love, she wanted a cure for love. After several drinks, one of her best friends suggested she indulge in a one-night stand, a mindless night of fun with absolutely no consequences, to help her heal. At first, Caitlin scoffed at the idea, but the idea niggled at her and one reckless night, she plucked up all her courage and actually followed through. There was only one problem - how did Caitlin end up with the one guy in town who wanted more than a one-night stand?'Hooking Up' is romance at its best – exhilarating, surprising, passionate, witty, moving, enraging, frustrating, sly, worldly and wise.When Caitlin gets the ride of her life, so will you. Hook up with 'Hooking Up', place yourself in the safest of hands and let yourself go.",Hooking Up #1,,,April 28th 2011,[],Nook,,2940011287787,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1315079392l/11544452.jpg,3.34,[],22.0,1.0,,,,82.0,937.0,238,,"['131', '263', '371', '134', '38']",,[],,['Jessica L. Degarmo']
Hard to Handle,,"['Romance', 'Contemporary Romance', 'Contemporary', 'Chick Lit', 'Adult', 'Adult Fiction', 'M F Romance', 'Fiction', 'Love']","ONCE BURNED Sadie Howard never dates a guy more than once-but Fate has other plans for her when it comes to Aiden Downey, the one that got away. Aiden loved her, left her, and broke her heart. Yet suddenly she's bumping into him at every turn, driven to distraction by his wicked grin and rock-hard body. Now she can't resist finishing what they started-as long as she doesn't let herself fall in love...TWICE AS TEMPTING Aiden Downey threw away the best thing he ever had when he let Sadie go, and now he's determined to win back the woman he's always wanted. Sadie agrees to let him into her life-and her bed-as long as there are no strings attached. But Aiden's not about to make the same mistake again. Can he convince her to take a second chance on a once-in-a-lifetime love?",Love in the Balance #2,,01/01/13,October 1st 2013,[],ebook,,9781455573790,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1373907927l/16147265.jpg,3.81,[],90.0,1.0,,,,92.0,870.0,260,Forever,"['217', '355', '226', '59', '13']",,[],,['Jessica Lemmon']
Hons and Rebels,,Biography & Autobiography,"In this ""wonderfully funny and very poignant"" (Philip Toynbee) autobiography, Mitford offers a fascinating study of the unusual upbringing of her famous family.",,,,2004.0,,,1590171101,9781590171103,,http://books.google.com/books/content?id=jjfhAQAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,4.12,,,,,,,,,284.0,,,2889.0,,,['Jessica Mitford']
Hons and Rebels,,"['Nonfiction', 'Memoir', 'Biography', 'History', 'Autobiography', 'Biography Memoir', 'British Literature', 'Classics', '20th Century', 'War']","Jessica Mitford, the great muckraking journalist, was part of a legendary English aristocratic family. Her sisters included Nancy, doyenne of the 1920s London smart set and a noted novelist and biographer; Diana, wife to the English fascist chief Sir Oswald Mosley; Unity, who fell head over in heels in love with Hitler; and Deborah, later the Duchess of Devonshire. Jessica swung left and moved to America, where she took part in the civil rights movement and wrote her classic expose of the undertaking business, The American Way of Death.Hons and Rebels is the hugely entertaining tale of Mitford's upbringing, which was, as she dryly remarks, not exactly conventional. . . Debo spent silent hours in the chicken house learning to do an exact imitation of the look of pained concentration that comes over a hen's face when it is laying an egg. . . . Unity and I made up a complete language called Boudledidge, unintelligible to any but ourselves, in which we translated various dirty songs (for safe singing in front of the grown-ups). But Mitford found her family's world as smothering as it was singular and, determined to escape it, she eloped with Esmond Romilly, Churchill's nephew, to go fight in the Spanish Civil War. The ensuing scandal, in which a British destroyer was dispatched to recover the two truants, inspires some of Mitford's funniest, and most pointed, pages.A family portrait, a tale of youthful folly and high-spirited adventure, a study in social history, a love story, Hons and Rebels is a delightful contribution to the autobiographer's art.",,,10/30/60,September 30th 2004,[],Paperback,,9781590171103,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1386920719l/43401.jpg,4.13,[],98.0,1.0,,,,97.0,3844.0,284,NYRB Classics,"['1437', '1612', '673', '95', '27']",,[],,"['Jessica Mitford', 'Christopher Hitchens']"
Holding You,,"['Romance', 'Contemporary Romance', 'Contemporary', 'Erotica', 'Adult', 'New Adult', 'Humor', 'M F Romance', 'Drama', 'Suspense']","Deep breath... I am peaceful, I am strong. Free-spirited Addy Brecken is Milwaukee's most talented vegan chef and co-owner of Sage Leaf Cafe. She has a genius IQ, a padded savings account, an amazing view of Lake Michigan, and a heart that won't stop beating. Deep breath ... I am peaceful, I am strong. An early April morning finds her drowning in the seductive fragrance of lilacs and the warmth of the morning sun when she's nearly hit by a car in front of her cafe. The peaceful existence she's desperately tried to maintain after the horrific loss of her family is suddenly shaken by the Range Rover driving, arrogant, sex-on-legs Quinn Cohen. Deep breath... I am peaceful, I am strong. A successful, Latino businessman from New York, Quinn has a taste for the finer things in life. A typical playboy, he has the money, the houses, the cars, and the women. Quinn is everything Addy avoids. Where she lives simply and prefers to help the less fortunate, he has no problem spending an obscene amount of money on a briefcase. Their opposite personalities lend to several heated encounters, and Addy finds herself propositioning Quinn for the one thing she never imagined needing ... sex. Offering only her body, Addy tries to keep Quinn at a safe distance from her heart and a world away from her past. Their passion-filled connection makes Addy feel something unfamiliar, alive. But with passion comes more feelings: anger, jealousy, love. When Addy surrenders to the unimaginable and lets go of her past, she's faced with the impossible... holding on to her future.",Holding You #1,,02/19/14,March 18th 2016,[],Paperback,,9780997258820,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1497358120l/29663006._SY475_.jpg,4.07,[],76.0,1.0,,,,92.0,2772.0,384,Jewel E. Ann,"['1184', '916', '439', '146', '87']",,[],,['Jewel E. Ann']
